"T","Points:0","Points:1","Points:2"
1623,37500,11719,0
1623,32812,14062,0
1623,35156,14062,0
1623,37500,14062,0
1623,28125,14062,0
1623,30469,14062,0
1623,32812,14062,0
1623,28125,16406,0
1623,30469,16406,0
1623,32812,16406,0
1623,28125,18750,0
1623,30469,18750,0
1623,32812,18750,0
1623,32812,14062,0
1623,35156,14062,0
1623,37500,14062,0
1623,32812,16406,0
1623,35156,16406,0
1623,37500,16406,0
1623,32812,18750,0
1623,35156,18750,0
1623,37500,18750,0
1623,0,18750,0
1623,2343.8,18750,0
1623,4687.5,18750,0
1623,0,21094,0
1623,2343.8,21094,0
1623,4687.5,21094,0
1623,0,23438,0
1623,2343.8,23438,0
1623,4687.5,23438,0
1623,4687.5,18750,0
1623,7031.2,18750,0
1623,9375,18750,0
1623,4687.5,21094,0
1623,7031.2,21094,0
1623,9375,21094,0
1623,4687.5,23438,0
1623,7031.2,23438,0
1623,9375,23438,0
1623,0,23438,0
1623,2343.8,23438,0
1623,4687.5,23438,0
1623,0,25781,0
1623,2343.8,25781,0
1623,4687.5,25781,0
1623,0,28125,0
1623,2343.8,28125,0
1623,4687.5,28125,0
1623,4687.5,23438,0
1623,7031.2,23438,0
1623,9375,23438,0
1623,4687.5,25781,0
1623,7031.2,25781,0
1623,9375,25781,0
1623,4687.5,28125,0
1623,7031.2,28125,0
1623,9375,28125,0
1623,9375,18750,0
1623,11719,18750,0
1623,14062,18750,0
1623,9375,21094,0
1623,11719,21094,0
1623,14062,21094,0
1623,9375,23438,0
1623,11719,23438,0
1623,14062,23438,0
1623,14062,18750,0
1623,16406,18750,0
1623,18750,18750,0
1623,14062,21094,0
1623,16406,21094,0
1623,18750,21094,0
1623,14062,23438,0
1623,16406,23438,0
1623,18750,23438,0
1623,9375,23438,0
1623,11719,23438,0
1623,14062,23438,0
1623,9375,25781,0
1623,11719,25781,0
1623,14062,25781,0
1623,9375,28125,0
1623,11719,28125,0
1623,14062,28125,0
1623,14062,23438,0
1623,16406,23438,0
1623,18750,23438,0
1623,14062,25781,0
1623,16406,25781,0
1623,18750,25781,0
1623,14062,28125,0
1623,16406,28125,0
1623,18750,28125,0
1623,0,28125,0
1623,2343.8,28125,0
1623,4687.5,28125,0
1623,0,30469,0
1623,2343.8,30469,0
1623,4687.5,30469,0
1623,0,32812,0
1623,2343.8,32812,0
1623,4687.5,32812,0
1623,4687.5,28125,0
1623,7031.2,28125,0
1623,9375,28125,0
1623,4687.5,30469,0
1623,7031.2,30469,0
1623,9375,30469,0
1623,4687.5,32812,0
1623,7031.2,32812,0
1623,9375,32812,0
1623,0,32812,0
