"T","Points:0","Points:1","Points:2"
273,0,1.5e+05,0
524.04,0,1.49e+05,0
735.12,0,1.48e+05,0
907.25,0,1.47e+05,0
1045.9,0,1.46e+05,0
1155.7,0,1.45e+05,0
1239.6,0,1.44e+05,0
1302,0,1.43e+05,0
1348.3,0,1.42e+05,0
1386.8,0,1.41e+05,0
1440.6,0,1.4e+05,0
1494,0,1.39e+05,0
1524.5,0,1.38e+05,0
1530.2,0,1.37e+05,0
1534.9,0,1.36e+05,0
1539,0,1.35e+05,0
1542.5,0,1.34e+05,0
1545.5,0,1.33e+05,0
1548,0,1.32e+05,0
1550,0,1.31e+05,0
1551.7,0,1.3e+05,0
1553.3,0,1.29e+05,0
1554.8,0,1.28e+05,0
1556.3,0,1.27e+05,0
1557.7,0,1.26e+05,0
1559.2,0,1.25e+05,0
1560.5,0,1.24e+05,0
1561.9,0,1.23e+05,0
1563.3,0,1.22e+05,0
1564.7,0,1.21e+05,0
1566.1,0,1.2e+05,0
1567.4,0,1.19e+05,0
1568.8,0,1.18e+05,0
1570.2,0,1.17e+05,0
1571.6,0,1.16e+05,0
1572.9,0,1.15e+05,0
1574.3,0,1.14e+05,0
1575.7,0,1.13e+05,0
1577.1,0,1.12e+05,0
1578.4,0,1.11e+05,0
1579.8,0,1.1e+05,0
1581.2,0,1.09e+05,0
1582.5,0,1.08e+05,0
1583.9,0,1.07e+05,0
1585.3,0,1.06e+05,0
1586.6,0,1.05e+05,0
1588,0,1.04e+05,0
1589.3,0,1.03e+05,0
1590.7,0,1.02e+05,0
1592,0,1.01e+05,0
1593.3,0,1e+05,0
1594.7,0,99000,0
1596,0,98000,0
1597.3,0,97000,0
1598.6,0,96000,0
1599.9,0,95000,0
1601.2,0,94000,0
1602.5,0,93000,0
1603.7,0,92000,0
1605,0,91000,0
1606.2,0,90000,0
1607.5,0,89000,0
1608.7,0,88000,0
1609.9,0,87000,0
1611.1,0,86000,0
1612.3,0,85000,0
1613.4,0,84000,0
1614.6,0,83000,0
1615.7,0,82000,0
1616.7,0,81000,0
1617.8,0,80000,0
1618.8,0,79000,0
1619.9,0,78000,0
1620.8,0,77000,0
1621.6,0,76000,0
1622.1,0,75000,0
1622.4,0,74000,0
1622.6,0,73000,0
1622.7,0,72000,0
1622.8,0,71000,0
1622.9,0,70000,0
1622.9,0,69000,0
1622.9,0,68000,0
1623,0,67000,0
1623,0,66000,0
1623,0,65000,0
1623,0,64000,0
1623,0,63000,0
1623,0,62000,0
1623,0,61000,0
1623,0,60000,0
1623,0,59000,0
1623,0,58000,0
1623,0,57000,0
1623,0,56000,0
1623,0,55000,0
1623,0,54000,0
1623,0,53000,0
1623,0,52000,0
1623,0,51000,0
1623,0,50000,0
1623,0,49000,0
1623,0,48000,0
1623,0,47000,0
1623,0,46000,0
1623,0,45000,0
1623,0,44000,0
1623,0,43000,0
1623,0,42000,0
1623,0,41000,0
1623,0,40000,0
1623,0,39000,0
1623,0,38000,0
1623,0,37000,0
1623,0,36000,0
1623,0,35000,0
1623,0,34000,0
1623,0,33000,0
1623,0,32000,0
1623,0,31000,0
1623,0,30000,0
1623,0,29000,0
1623,0,28000,0
1623,0,27000,0
1623,0,26000,0
1623,0,25000,0
1623,0,24000,0
1623,0,23000,0
1623,0,22000,0
1623,0,21000,0
1623,0,20000,0
1623,0,19000,0
1623,0,18000,0
1623,0,17000,0
1623,0,16000,0
1623,0,15000,0
1623,0,14000,0
1623,0,13000,0
1623,0,12000,0
1623,0,11000,0
1623,0,10000,0
1623,0,9000,0
1623,0,8000,0
1623,0,7000,0
1623,0,6000,0
1623,0,5000,0
1623,0,4000,0
1623,0,3000,0
1623,0,2000,0
1623,0,1000,0
1623,0,0,0
