"T","Points:0","Points:1","Points:2"
273,80000,1.5e+05,0
331.73,80000,1.49e+05,0
390.46,80000,1.48e+05,0
448.54,80000,1.47e+05,0
506.28,80000,1.46e+05,0
563.38,80000,1.45e+05,0
619.07,80000,1.44e+05,0
674.77,80000,1.43e+05,0
727.74,80000,1.42e+05,0
780.63,80000,1.41e+05,0
831.34,80000,1.4e+05,0
880.74,80000,1.39e+05,0
928.99,80000,1.38e+05,0
974.29,80000,1.37e+05,0
1019.6,80000,1.36e+05,0
1060.7,80000,1.35e+05,0
1101.5,80000,1.34e+05,0
1139.5,80000,1.33e+05,0
1175.7,80000,1.32e+05,0
1210.6,80000,1.31e+05,0
1242.1,80000,1.3e+05,0
1273.5,80000,1.29e+05,0
1300.9,80000,1.28e+05,0
1327.8,80000,1.27e+05,0
1353,80000,1.26e+05,0
1375.9,80000,1.25e+05,0
1397.2,80000,1.24e+05,0
1416.9,80000,1.23e+05,0
1434.8,80000,1.22e+05,0
1451.2,80000,1.21e+05,0
1466.4,80000,1.2e+05,0
1480.2,80000,1.19e+05,0
1492.9,80000,1.18e+05,0
1504.5,80000,1.17e+05,0
1515.1,80000,1.16e+05,0
1524.5,80000,1.15e+05,0
1533,80000,1.14e+05,0
1540.7,80000,1.13e+05,0
1547.6,80000,1.12e+05,0
1553.8,80000,1.11e+05,0
1559.4,80000,1.1e+05,0
1564.4,80000,1.09e+05,0
1568.8,80000,1.08e+05,0
1572.7,80000,1.07e+05,0
1576.3,80000,1.06e+05,0
1579.4,80000,1.05e+05,0
1582.3,80000,1.04e+05,0
1584.8,80000,1.03e+05,0
1587,80000,1.02e+05,0
1589,80000,1.01e+05,0
1590.9,80000,1e+05,0
1592.6,80000,99000,0
1594.2,80000,98000,0
1595.7,80000,97000,0
1597.1,80000,96000,0
1598.5,80000,95000,0
1599.9,80000,94000,0
1601.2,80000,93000,0
1602.5,80000,92000,0
1603.7,80000,91000,0
1605,80000,90000,0
1606.2,80000,89000,0
1607.4,80000,88000,0
1608.5,80000,87000,0
1609.7,80000,86000,0
1610.8,80000,85000,0
1612,80000,84000,0
1613.1,80000,83000,0
1614.1,80000,82000,0
1615.2,80000,81000,0
1616.2,80000,80000,0
1617.2,80000,79000,0
1618.1,80000,78000,0
1618.9,80000,77000,0
1619.7,80000,76000,0
1620.3,80000,75000,0
1620.8,80000,74000,0
1621.2,80000,73000,0
1621.5,80000,72000,0
1621.8,80000,71000,0
1622,80000,70000,0
1622.2,80000,69000,0
1622.4,80000,68000,0
1622.5,80000,67000,0
1622.6,80000,66000,0
1622.7,80000,65000,0
1622.7,80000,64000,0
1622.8,80000,63000,0
1622.8,80000,62000,0
1622.9,80000,61000,0
1622.9,80000,60000,0
1622.9,80000,59000,0
1622.9,80000,58000,0
1622.9,80000,57000,0
1623,80000,56000,0
1623,80000,55000,0
1623,80000,54000,0
1623,80000,53000,0
1623,80000,52000,0
1623,80000,51000,0
1623,80000,50000,0
1623,80000,49000,0
1623,80000,48000,0
1623,80000,47000,0
1623,80000,46000,0
1623,80000,45000,0
1623,80000,44000,0
1623,80000,43000,0
1623,80000,42000,0
1623,80000,41000,0
1623,80000,40000,0
1623,80000,39000,0
1623,80000,38000,0
1623,80000,37000,0
1623,80000,36000,0
1623,80000,35000,0
1623,80000,34000,0
1623,80000,33000,0
1623,80000,32000,0
1623,80000,31000,0
1623,80000,30000,0
1623,80000,29000,0
1623,80000,28000,0
1623,80000,27000,0
1623,80000,26000,0
1623,80000,25000,0
1623,80000,24000,0
1623,80000,23000,0
1623,80000,22000,0
1623,80000,21000,0
1623,80000,20000,0
1623,80000,19000,0
1623,80000,18000,0
1623,80000,17000,0
1623,80000,16000,0
1623,80000,15000,0
1623,80000,14000,0
1623,80000,13000,0
1623,80000,12000,0
1623,80000,11000,0
1623,80000,10000,0
1623,80000,9000,0
1623,80000,8000,0
1623,80000,7000,0
1623,80000,6000,0
1623,80000,5000,0
1623,80000,4000,0
1623,80000,3000,0
1623,80000,2000,0
1623,80000,1000,0
1623,80000,0,0
